Q_Mean,P_Mean,Variance;Measured_real;Measured_imag
0.154071,-0.273042,-0.273042;-1.62067;0
-0.648769,0.107144,0.107144;-1.40095;1
0.983543,-1.06323,-1.06323;-2.18019;1
-0.956186,-0.632995,-0.632995;-0.667066;0
1.54389,1.1263,1.1263;0.815955;0
-0.556849,-0.484564,-0.484564;-0.597222;1
-1.0526,-0.22714,-0.22714;-1.30122;1
1.41676,-0.441965,-0.441965;-2.04121;1
-2.1369,1.83646,1.83646;-3.54132;0
1.877,0.707802,0.707802;-1.67041;1
-0.551251,-0.103206,-0.103206;-0.725623;1
-1.25356,-0.843461,-0.843461;0.333591;1
0.306725,1.08604,1.08604;0.0505885;1
1.30918,1.12165,1.12165;3.41937;0
0.719137,0.0372582,0.0372582;-0.650835;1
0.0169992,-0.971624,-0.971624;-3.26582;1
-1.0447,2.1776,2.1776;-0.604064;0
-0.852251,-1.4199,-1.4199;0.362415;0
1.16459,0.106455,0.106455;1.37129;0
1.10039,-1.062,-1.062;1.18274;0
0.113406,0.891066,0.891066;0.175511;0
-0.851944,0.652267,0.652267;2.52222;0
0.223616,0.242553,0.242553;-1.1341;1
0.255167,-1.12371,-1.12371;-1.50313;1
0.420331,0.585704,0.585704;1.98087;1
-0.508496,0.176477,0.176477;-0.27636;0
-1.42028,-0.018959,-0.018959;0.915266;0
